# disease	number_of_all_genes	number_of_OMIM_genes	number_of_GWAS_genes	OMIM_genes	GWAS_genes
respiratory hypersensitivity	52	8	44	3596;94103;2302;30009;80332;4589;7941;57628	2615;84640;100131609;4088;401157;253013;90865;55876;441376;644540;3122;9173;3570;9283;10665;6046;1116;1118;1017;8809;6821;85480;5144;26953;169026;3132;91137;284110;64375;23418;3560;56946;3119;3118;1999;220959;3115;3113;3111;3117;149628;5089;4855;56244
respiratory tract diseases	115	55	61	3596;4086;1080;4089;2294;653509;4613;27063;1893;55172;7015;6288;21;64446;7157;5002;2302;9940;6439;5784;80332;55036;83544;57628;4093;339829;7080;1767;5265;30009;1956;6442;7941;6440;123872;10568;729238;6289;1285;7273;6794;27019;221421;345895;1438;201163;8701;4589;972;54904;673;659;2064;94103;51314	123688;2615;84640;100131609;10144;4088;8626;401157;55504;646192;4855;7917;3658;90865;7015;55876;441376;53916;644540;4285;3122;64375;3570;9283;10665;100132286;6046;1116;1118;1017;8809;6821;387044;3117;85480;5144;26953;1136;152002;3132;91137;284110;9173;23418;169026;3560;56946;3119;3118;1999;220959;3115;3113;5089;3111;8897;149628;81037;253013;51074;56244
respiratory tract neoplasms	24	12	12	5002;6794;6288;6289;7157;673;9940;1956;54904;10568;2064;972	123688;55504;4285;8897;8626;387044;1136;646192;81037;152002;7015;7917
retinal degeneration	132	98	39	1302;762;2652;6121;10210;6100;10516;24;4901;6247;5148;5149;5146;5145;7399;5995;64072;6094;6010;84140;6017;4647;1406;169522;10594;346007;2074;5158;9094;6785;6261;22999;1524;54714;5961;7439;1258;1259;8754;124590;65217;4117;23418;64218;130557;114902;79955;83394;83552;1001;3614;9129;93589;83872;3000;55812;79947;7099;388939;84059;25861;375298;728458;3075;25794;5654;84100;6295;26121;92211;7401;387715;7287;10002;57096;55975;768206;84839;145226;123016;7078;718;6103;6102;24148;10083;8842;778;2978;2979;10461;26504;4508;3420;50939;1471;23020;6101	360023;387715;7936;629;6499;221527;59338;343450;441726;80864;10554;728402;259266;1071;221294;221416;6048;3080;10877;3990;8224;718;717;1797;9709;3075;3078;5654;81579;23418;8797;118663;7148;3426;8859;5978;7422;2165;81494
retinal diseases	151	112	44	1302;762;2652;1261;6121;10210;6100;10516;24;4901;10585;4867;6247;5148;718;5146;3769;5145;7399;5995;64072;343035;54714;6094;6010;84140;6017;4647;7439;169522;10594;346007;2074;5158;9094;8322;6785;6261;22999;1524;8754;5961;1406;1258;1259;80184;124590;65217;4117;23418;64218;130557;114902;79955;83394;220202;83552;167691;3614;9129;93589;83872;3000;55812;79947;7099;388939;84059;25861;375298;728458;3075;25794;5654;84100;6295;26121;92211;7401;387715;7287;10002;57096;55975;768206;9227;84839;145226;123016;7078;5149;6103;6102;24148;10083;5925;8842;23746;778;2978;2979;10461;26504;4508;1280;3420;5444;50939;1471;1001;23020;6101	360023;387715;7936;629;6499;221527;59338;343450;441726;80864;10554;728402;259266;1071;221294;266722;221416;6048;84898;10877;3990;8224;285600;718;717;1797;10529;9709;3075;3078;5654;81579;23418;8797;58504;118663;7148;3426;3080;8859;5978;7422;2165;81494
retinal dystrophies	81	81	0	5158;3614;1302;24148;762;9129;57096;93589;23418;6121;10210;55975;768206;84839;10083;145226;55812;24;123016;10002;6261;4901;79947;6103;6102;22999;6094;5146;388939;84059;7287;5961;8842;25861;7439;1258;1259;375298;5148;5149;8754;169522;728458;5145;7399;124590;65217;778;5995;4117;2978;2979;64072;6100;10461;25794;84140;9094;26504;4508;64218;130557;6010;6101;2652;6017;79955;84100;6295;3420;83394;4647;1406;92211;50939;10594;26121;23020;346007;7401;3000
retinitis pigmentosa	79	79	0	5158;3614;1302;24148;762;9129;57096;23418;6121;10210;55975;768206;84839;10083;145226;55812;24;123016;10002;6261;4901;79947;6103;6102;22999;7840;5146;388939;84059;7287;5961;8842;25861;7439;1258;1259;375298;5148;8754;728458;5145;7399;124590;65217;778;5995;4117;2978;2979;64072;6100;10461;25794;84140;9094;26504;4508;64218;130557;6010;6101;2652;6017;79955;84100;6295;3420;83394;4647;6094;1406;92211;50939;10594;26121;23020;346007;7401;3000
rheumatic diseases	79	16	66	4282;7369;3569;4277;4148;3663;6775;54829;8200;23569;2487;56606;3309;4795;6583;115352	55937;344462;167826;23534;54665;84871;5649;7117;23263;5211;139363;11170;958;116085;54875;79722;640;3123;26191;3516;3559;10665;114182;326;56606;389203;7536;3899;6366;5966;5289;1235;79667;3663;90355;6446;200734;1493;23569;359775;3132;259308;7092;40;7128;353011;3135;6014;3119;26147;2895;56244;344423;3118;164832;3127;389715;3117;5871;257397;100270827;4855;53940;7185;83648;7547
sarcoma	27	27	0	1649;23512;5155;6757;7030;11200;727837;6760;8013;5077;2308;2521;2130;2131;7490;221895;5925;2078;2115;5002;79058;54738;1277;5081;6756;2313;8648
sensation disorders	25	25	0	1302;2652;1261;493856;10002;6663;10083;54714;84059;25861;5146;728458;611;7399;124590;65217;64072;80975;2780;79955;1729;5956;4647;7401;7466
signs and symptoms	153	106	50	1302;50484;2652;84623;51473;3040;6872;85300;161582;8492;6323;547;1261;8431;7390;5146;7399;64072;5468;5428;50674;3039;9901;2990;4647;4137;55998;84239;2902;2904;140803;3778;7991;9856;1859;2780;6261;6663;6513;3479;54714;3048;1013;611;9524;3952;124590;65217;84295;4359;25953;79955;1729;8831;51185;644;291;112476;11093;10653;64221;6530;2055;181;84059;25861;26580;728458;2629;1861;8575;7352;11232;80975;6487;7080;2898;5956;55650;9439;55145;7401;56652;5080;10002;2632;10369;83696;1811;1813;10083;2036;93986;81704;55605;2643;26503;54862;1282;5443;4160;11253;6335;8910;55777;478	9369;3751;3778;9451;100189470;5079;100271091;400652;116448;23635;4137;346711;403301;60467;7092;4160;3662;126969;442216;4336;83657;79068;2152;117583;2509;4094;26957;401145;29851;56311;728409;100130338;8029;10228;100147821;7903;26281;4685;1803;100271317;1060;140464;3031;286097;497258;8661;55686;340895;54901;926
skin abnormalities	73	73	0	55505;132884;2312;8626;1308;3909;3868;59344;57514;5339;3655;1896;7015;1832;2068;26154;5351;3691;55135;7051;5317;643418;1736;26277;9401;7507;3852;3853;368;117581;2073;2072;2071;404672;11285;3861;3858;10913;1278;8517;9509;126410;1294;113189;3872;3914;1277;3849;3918;128178;4626;242;136647;5429;224;1290;4792;2121;1643;64840;1281;11005;5184;7508;1289;5818;55651;5573;412;10804;3848;80326;3854
skin and connective tissue diseases	506	244	281	55851;55505;212;5176;210;114548;8626;1308;112744;23592;7389;3655;8546;10516;5479;1832;150094;7306;1773;9833;7051;3257;1371;26277;643418;3852;3853;10555;3858;3848;147138;7390;126410;121340;675;2707;2706;3887;672;673;11277;23569;128178;5468;7124;3643;2071;6448;4935;6794;2261;1828;149233;2990;100293534;6654;2312;10758;89781;2799;3845;411;412;10804;55024;80326;1380;5317;538;9119;3569;4893;136647;147409;11200;5498;3145;3309;9496;4282;2068;26154;4286;4041;60681;55135;79728;4049;57514;26258;368;113189;2073;2072;64175;64840;11285;64170;6583;8517;3663;3815;127534;5339;3849;64581;55806;4627;3918;23545;11005;79803;6775;284119;6772;4292;23385;5781;2161;5889;3593;9733;1075;117581;242;4948;5663;2192;4436;121391;200879;7015;5133;2200;7517;1588;857;115352;3857;3691;1290;3854;1736;9401;84343;3892;404672;147495;10913;2121;7292;9509;4277;7299;3872;1041;30008;2588;5892;84823;10161;3077;91;224;11234;2213;138050;5346;5429;100507436;27032;3889;10125;3684;5818;55651;720;721;84062;22861;10491;80271;3868;132884;4683;1289;3861;3860;3909;5290;11322;59344;4015;1896;5888;84952;26580;4920;5352;5351;4000;3373;26191;875;871;7507;81847;83990;51151;4598;23765;1294;388552;1278;3914;207;2720;208;4254;1277;7100;81794;488;4795;710;4792;1285;1643;1287;1286;1281;4669;5831;3423;4010;2235;91662;3425;4014;1493;2006;5894;7508;57152	100131609;3133;9071;441073;394263;54620;9474;646520;4026;392382;7917;259308;80736;473;10340;2099;388698;3596;3132;11118;696;100130988;51752;3122;3123;5980;3127;3559;3558;10665;267014;29113;267016;389715;387046;122589;352961;115509;286016;90134;340198;8635;170553;253018;100147754;10884;5460;200734;1493;23569;167826;730070;7124;64375;116159;91056;401089;8870;100270953;5462;4734;79875;344423;164832;729627;10758;25780;84547;55024;2255;56244;2794;135644;55937;10320;595;64288;5017;134510;170680;6821;116935;221527;3120;100270827;6148;5491;283491;9497;4280;831;3663;79722;78994;54899;10255;80205;353145;1797;2312;114904;919;2175;2263;5687;51592;1656;100189529;5966;56946;1235;401250;3586;3662;100130756;57176;170679;54796;11120;100048912;645950;353007;11127;367;353010;353011;259197;57661;5089;780;3394;26147;6775;79692;5246;7141;6773;3092;640;53335;387117;149233;10866;54535;83648;3593;59067;2615;80862;3595;9825;629;353094;577;100189539;2294;10554;7918;60401;3002;177;8341;7015;3009;7916;11221;4340;339799;23534;474354;23;3692;22971;3516;394254;3899;5168;26191;27324;6048;2113;6366;10919;375616;100129921;349158;63940;4277;729582;7920;7297;639;80129;7128;80760;267015;121260;7148;309;390218;135656;29086;4157;2212;4439;728615;1997;344462;221584;4214;57705;3687;79934;3684;4916;347292;57178;100129192;80271;10318;285834;53347;54665;84648;7292;729816;401475;11181;5211;6941;283165;100270908;4276;958;57713;11170;1460;3106;3107;100130889;11074;100133193;717;57161;326;81847;7299;389203;22891;150221;4843;147;387122;414777;285829;90355;4046;7940;81797;81794;4856;284382;647121;10371;3135;7332;3119;3118;3117;100130409;3115;3113;3112;55770;8859;7741;89870;29777;4855;9692;7185
skin diseases	363	187	185	55851;55505;212;210;114548;8626;1308;112744;5781;7389;3655;8546;10516;1832;150094;7306;9833;7051;3257;7517;26277;643418;3852;3853;3858;7390;126410;675;2707;2706;3887;672;673;5468;7124;3643;1290;4935;6794;64840;1828;149233;89781;2312;10758;10555;412;10804;3848;80326;147138;5317;538;9119;136647;147409;11200;5498;3145;9496;2068;26154;4286;55135;79728;4049;57514;26258;368;113189;2073;2072;2071;128178;11285;64170;8517;3815;127534;5339;3849;64581;55806;242;3918;23545;11005;79803;284119;6772;4292;23385;2261;2161;5889;3593;9733;1075;117581;4948;5663;2192;4436;121391;200879;7015;1371;1588;857;3857;3691;3854;1736;9401;84343;3892;404672;147495;10913;26580;9509;7299;3872;30008;5892;84823;10161;3077;91;224;11234;5346;5429;100507436;27032;3889;5818;55651;84062;22861;80271;3868;132884;4683;1289;3861;3860;3909;5290;11322;59344;1896;5888;84952;5351;4000;81847;83990;51151;4598;23765;1294;388552;1278;3914;207;208;4254;1277;488;710;4792;2121;1643;1041;1281;5831;4010;2235;91662;4015;4014;7507;2006;5894;7508;57152	100131609;7128;3132;646520;4026;392382;80736;283491;2099;388698;3596;401250;340198;3122;3123;5980;3127;3559;3558;10665;29113;267016;122589;352961;394263;90134;8635;387122;253018;10884;5460;1493;3133;441073;7124;64375;116159;91056;8870;100270953;149233;79875;344423;170680;10758;2255;56244;2794;135644;595;5017;134510;2312;6821;116935;221527;6148;5491;100147754;9497;4280;831;3663;10255;80205;353145;51752;114904;919;2175;2263;5687;51592;5966;309;3586;3662;170679;54796;100048912;11127;367;353010;353011;100129921;5089;780;3394;347292;5246;7141;6773;54620;53335;10866;54535;3593;59067;2615;80862;3595;9825;577;2294;10554;60401;3002;177;7015;353007;4340;339799;23534;3692;22971;353094;5168;27324;6048;10318;53347;63940;4277;729582;7920;7297;7299;80129;267015;7148;390218;135656;29086;56946;2212;344462;4214;647121;79934;4916;6775;57178;100129192;80271;285834;84648;729816;401475;6941;100270908;4276;473;3106;3107;100130889;11074;100133193;717;57161;81847;170553;22891;4843;147;285829;4046;7940;81794;284382;10371;3135;4157;3119;3118;3117;100130409;3115;3113;3112;55770;5462;89870;4856;4855;9692
skin diseases, genetic	132	124	9	55505;212;210;114548;8626;1308;7389;3655;8546;10516;1832;7306;7051;3257;1371;26277;643418;3852;3853;3858;7390;126410;2707;2706;1290;128178;1828;89781;2312;2068;412;3849;3848;80326;136647;5498;3145;26154;4286;55135;5317;57514;26258;368;2073;2072;2071;64840;11285;8517;3815;127534;10804;242;1277;23545;11005;79803;4292;9733;1075;117581;488;4948;4436;5339;7015;3857;3691;3854;1736;9401;84343;3892;404672;10913;9509;7299;3872;30008;3077;224;11234;3887;5429;4935;5184;27032;3889;5818;55651;84062;3868;132884;2235;3861;3860;3909;59344;1896;1893;5351;51151;4598;1294;388552;1278;3914;113189;3918;118429;4792;2121;1643;1281;5831;1289;91662;4015;4014;7507;2006;7508;57152	2615;56946;5017;2312;81794;11127;388698;284382;91056
skin diseases, papulosquamous	77	6	75	3593;100507436;149233;4049;10758;7124	3593;100129192;7297;3107;3596;285834;122589;134510;84648;221527;646520;10554;394263;177;6941;63940;5491;253018;3132;54620;831;780;10665;3122;5980;353145;3127;11074;309;51752;135656;401250;717;29113;6048;5966;4843;10318;147;116935;4276;7920;3106;90134;387122;170679;9692;9825;7940;3133;267015;7148;7124;7128;267016;100129921;8870;5089;100270953;149233;3119;3118;10866;344423;89870;170680;3112;6773;10758;5687;4855;56244;54535;2794;135644
skin diseases, vascular	38	3	36	710;2161;80271	80862;285834;116935;729816;6148;10255;4340;4280;3595;353007;3106;3107;100130889;340198;29113;267016;253018;352961;4276;3586;8870;285829;387122;170679;3135;267015;353010;353011;2212;780;149233;170680;79934;10866;54535;80271
sleep disorders	21	12	11	8864;15;114781;2562;5621;3060;2668;1453;627;4211;8929;4340	4211;114781;3119;3118;80205;54465;6955;10438;5607;27324;5789
spastic paraplegia, hereditary	24	24	0	65055;123606;3329;5354;3798;80208;118813;9897;547;57165;9420;51324;6683;3897;6687;23503;23111;9197;22948;26580;9907;79152;51062;10908
spinal cord diseases	71	63	9	2617;56652;57679;747;255928;57449;5173;8622;56997;23345;59341;6606;6607;3736;6908;2521;4287;1639;9217;146057;9896;203228;4744;2741;2743;6311;10939;7415;146227;367;283;29978;3508;9640;2259;3748;785;55277;10133;10528;6647;3708;23435;773;5582;6712;64374;26580;55129;7443;5428;5521;54840;343641;6507;23064;6310;2395;55775;6314;25814;54822;538	1804;79970;7074;998;23025;22920;56832;155061;203228
spinal diseases	37	10	27	7058;100507436;5167;4318;4049;1298;1299;54829;7124;8483	3593;10678;23046;390283;100271278;9755;200728;4276;10085;100169835;3107;196527;25949;51752;10660;267015;5966;400867;147;3837;391282;729816;4055;149233;344423;864;10758
spinocerebellar ataxias	34	34	0	5173;56652;747;8622;56997;23345;5521;3736;6908;472;5582;4287;146057;10939;146227;2259;3748;255928;785;10528;3708;773;6712;9640;55129;5428;343641;6507;23064;6310;6311;55775;6314;25814
spinocerebellar degenerations	36	36	0	5173;56652;747;8622;56997;23345;5521;3736;6908;5582;4287;146057;255928;6311;10939;146227;2259;3748;785;10528;3708;773;6712;64374;55129;9640;5428;54840;343641;6507;23064;6310;2395;55775;6314;25814
spondylarthritis	28	3	25	7124;100507436;4049	3593;10678;23046;390283;100271278;9755;200728;4276;10085;3107;196527;25949;51752;267015;5966;400867;147;3837;391282;729816;4055;149233;344423;864;10758
spondylarthropathies	28	3	25	7124;100507436;4049	3593;10678;23046;390283;100271278;9755;200728;4276;10085;3107;196527;25949;51752;267015;5966;400867;147;3837;391282;729816;4055;149233;344423;864;10758
spondylitis	28	3	25	7124;100507436;4049	3593;10678;23046;390283;100271278;9755;200728;4276;10085;3107;196527;25949;51752;267015;5966;400867;147;3837;391282;729816;4055;149233;344423;864;10758
spondylitis, ankylosing	21	0	21	3593;147;4055;3837;391282;4276;100271278;23046;10085;864;196527;390283;25949;51752;9755;10678;149233;267015;729816;200728;400867
stomatognathic diseases	73	17	56	286077;1747;1075;1302;1834;50945;6654;5727;4487;6452;5745;265;10117;9622;8241;9313;23314	360203;55504;56169;80862;285834;9241;352997;116935;147381;729816;353021;353002;353003;57698;6148;10255;4340;5820;4280;3595;340198;353007;3106;3107;100130889;342808;29113;267016;253018;26278;3664;352961;352995;346171;4276;3586;285829;387122;170679;3135;5460;267015;353010;353011;8870;2122;780;149233;11023;3117;170680;27042;3123;339210;10866;54535
stomatognathic system abnormalities	23	13	10	286077;1747;1302;1834;50945;6654;4487;265;10117;9622;8241;9313;23314	5820;147381;57698;11023;3664;9241;27042;342808;56169;339210
tauopathies	42	14	29	55103;2629;7305;9627;4535;4536;54209;4137;5663;351;5664;5071;348;4973	339761;9451;10452;274;8301;283226;10347;338399;1191;51435;344558;643680;10913;25902;1378;341;23607;3662;4336;10228;9846;23036;64231;2041;945;4137;5819;51338;926
tdp-43 proteinopathies	30	22	9	6647;54664;5663;2521;1639;57679;203228;4744;9896;7415;283;29978;10133;55277;23435;9217;25978;2896;4137;23064;6311;54822	1804;79970;7074;998;23025;22920;56832;155061;203228
thoracic neoplasms	26	14	12	5002;6794;6288;6289;7157;5573;673;9940;1956;4626;54904;10568;2064;972	123688;55504;4285;8897;8626;387044;1136;646192;81037;152002;7015;7917
thyroid diseases	48	17	34	5172;7080;389434;169792;7068;7253;3265;1482;1493;7849;115352;51079;7038;6528;50506;405753;213	344462;80862;285834;7253;399;353006;3710;832;440574;23;2304;11116;10665;83657;115352;267015;4279;2914;4276;4094;8635;1493;51562;29113;392371;394263;3119;646702;4295;3118;196951;55584;84312;2252
urination disorders	32	3	29	1285;1286;6524	3751;117583;100271317;100271091;116448;23635;55686;346711;403301;728409;7092;2152;26957;401145;29851;56311;100130338;126969;100147821;7903;26281;1803;1060;3031;286097;8661;8029;340895;54901
urogenital abnormalities	36	35	1	988;122042;4214;190;3295;3293;268;1589;6662;7490;1586;1584;50846;84733;367;2260;3730;284654;4920;60675;6736;4627;6716;269;3284;3640;1285;1287;1286;2492;6770;55636;128674;2516;2253	139189
urogenital neoplasms	156	55	105	23512;60528;5290;7030;11200;4437;4436;6928;23301;5889;5071;4477;27241;5728;79663;7490;5546;221895;5925;3973;6041;116093;4968;11281;367;2261;4841;4292;1316;207;57531;675;55193;999;672;22800;5892;3265;1499;2956;4233;11236;4601;2271;6421;10232;2048;201163;23405;4978;4481;79058;84925;2064;7428	8626;153572;646255;22853;23362;83636;391679;3655;22834;4477;5820;26579;7054;4983;7399;5462;100271222;367;11278;401237;80031;5305;6563;10611;81037;157638;2255;5010;595;23466;100271197;23301;728484;7015;6662;653268;100128390;387934;2263;50805;6582;6581;6580;3817;55729;219931;25978;340602;122525;2677;54535;430;578;56169;100271372;402123;6928;222546;8193;54796;54790;79887;4824;58472;200315;253461;638;79083;196374;80762;4609;389136;390218;10;6498;401475;100189492;94274;3232;84075;3231;8673;2034;1293;81848;80319;137868;84790;898;55190;4254;55214;3709;10460;60678;100270871;8000;7337;8082;949;5630;354;51312;1761;63892
urologic diseases	235	115	125	5310;4306;760;6557;6559;7225;5076;8542;3557;6648;5824;5828;7056;4868;23607;3939;142680;718;7809;6092;4233;116093;6569;4643;988;120227;65266;7030;11136;81;6519;5251;9380;79663;5311;51196;6514;5314;525;4968;11281;2261;64423;3265;4627;2271;6421;1729;50617;7422;7421;4952;5972;7428;3758;8504;629;5167;27241;1636;2056;7490;5546;183;185;9409;189;112817;10312;6521;1594;6524;3077;11236;1188;1187;1184;4179;201163;340024;554;551;8074;6340;4920;5195;7466;5190;5193;5192;5925;8671;1758;65125;5800;4841;3913;79058;7369;57531;55193;493856;7827;1285;1287;1286;5830;3426;84925;6337;55670;6338;81494;359;3075	8626;10863;23362;28991;200420;8542;346711;83636;3123;11112;10665;2034;407977;2152;7369;29851;84902;5462;22925;80832;23562;6569;1060;3031;6563;100271317;5696;55589;51071;595;23466;3709;8395;728409;286097;22918;9658;100270946;6781;449493;6262;57619;6665;898;26011;221416;57575;6582;100271209;9153;9526;100130338;55214;7029;7903;23780;8897;11122;51422;79611;126969;389840;7422;340895;284274;30011;10460;3751;646195;117583;8741;116448;10255;150280;7092;200315;29956;2628;256356;3075;4609;100147821;9027;390218;4603;26281;56965;10;8082;2646;4760;949;353329;8661;254778;204474;6744;58500;100271091;158222;23635;128822;1471;6909;449492;403301;26957;401145;4257;56311;55686;90859;60677;8000;8416;1803;3119;3118;3117;3116;8029;4855;54901;29107;100270916
urologic neoplasms	41	22	19	7030;84925;27241;7490;5546;5925;11236;4968;11281;2261;4841;79663;57531;55193;3265;4233;116093;2271;6421;201163;79058;7428	83636;595;8082;23466;10;898;8626;3709;2034;6563;23362;5462;55214;10460;4609;200315;949;390218;8000
urological manifestations	29	0	29	3751;117583;100271317;100271091;116448;23635;55686;346711;403301;728409;7092;2152;26957;401145;29851;56311;100130338;126969;100147821;7903;26281;1803;1060;3031;286097;8661;8029;340895;54901
uveal diseases	38	5	34	1121;83959;5080;4016;4942	80862;285834;116935;729816;6148;10255;4340;4280;3595;353007;3106;3107;100130889;340198;29113;267016;253018;352961;4276;3586;285829;387122;170679;3135;267015;353010;353011;8870;780;149233;170680;4016;10866;54535
uveitis	33	0	33	80862;285834;116935;729816;6148;10255;4340;4280;3595;353007;3106;3107;100130889;340198;29113;267016;253018;352961;4276;3586;285829;387122;170679;3135;267015;353010;353011;8870;780;149233;170680;10866;54535
uveitis, anterior	33	0	33	80862;285834;116935;729816;6148;10255;4340;4280;3595;353007;3106;3107;100130889;340198;29113;267016;253018;352961;4276;3586;285829;387122;170679;3135;267015;353010;353011;8870;780;149233;170680;10866;54535
varicose veins	45	0	45	154215;129684;347273;339761;677828;81832;8622;100131893;27436;10512;23302;401492;100271596;1879;49855;100270961;100270844;5629;343727;100147818;4048;100270983;652;29761;26031;7247;3667;51438;8777;340351;153339;392374;100147745;5593;2043;814;729992;28951;11245;83478;201456;153020;441525;100127911;91461
vascular diseases	272	77	198	3717;55109;595;2717;4088;4089;4540;2934;3565;80271;5144;4629;5054;23209;4638;351;4205;472;27063;4538;5583;5351;7015;4535;4094;7048;183;84159;1471;5921;368;2153;5340;1290;2261;11285;889;51320;659;1278;9509;7804;11235;3662;113189;9445;1277;7046;241;4541;59;5654;710;94;6403;4854;1281;1636;948;1282;83417;7428;4524;1289;8997;5444;2147;6335;7468;51128;4040;2022;3431;23022;4973;2161;83605	217;51196;677828;8622;348;283652;10512;56979;490;203238;100270961;3595;5629;1946;10895;255738;8658;341;2153;29113;267016;23294;23293;401492;2243;352961;84439;2212;7809;387122;5593;10529;3135;728553;4035;1495;1952;283849;392374;100147745;27072;646583;5308;8870;80036;149233;170680;8701;57608;55759;100127911;337880;168455;65264;81832;116935;3667;132789;27436;6387;6148;253018;49855;7369;4280;6263;90627;343727;100147818;170690;4048;8882;340198;51205;1879;2266;100130239;285600;3586;170679;1330;100271444;100048912;153090;100271596;353010;353011;780;2043;4815;729992;26766;79614;79192;1008;128611;10866;54535;154215;129684;80862;347273;339761;2921;28;84898;56996;100131893;1874;114036;9037;51438;1909;653163;441525;10255;4340;2200;100270844;57674;100130537;6597;2565;128609;652;8613;66037;26031;63951;10400;25902;10151;4276;375056;353007;8777;58504;267015;153339;3077;22808;728299;10743;100271506;54805;84722;814;79934;143872;28951;83478;22882;8938;80271;51530;54984;729075;54986;79659;285834;5294;729816;55973;64321;6943;11173;9992;6346;11245;3106;3107;100130889;6101;100270983;3184;400591;266722;80310;157708;65125;29761;7247;285829;340351;23302;1284;79660;4018;7917;1282;2160;3988;5932;201456;153020;221692;91461;347704
vasculitis	36	1	36	80271	80862;285834;116935;729816;6148;10255;4340;4280;3595;353007;3106;3107;100130889;340198;29113;267016;253018;352961;4276;3586;8870;285829;387122;170679;3135;267015;353010;353011;2212;780;149233;170680;79934;10866;54535;80271
virus diseases	22	6	16	7098;11322;11277;4609;81622;147138	2903;282617;117583;4277;3119;3118;3115;51196;3113;65992;282616;9681;25943;10866;3120;3704
vision disorders	25	25	0	1302;2652;1261;60506;493856;10002;6663;10083;54714;84059;25861;5146;728458;611;7399;124590;65217;778;64072;2780;79955;5956;4647;7401;7466
